Campaign,Topic,Month,Year,Responses,Targets,Effectiveness
Body Contouring 2017/ Men,Liposuction,January,2017,2,595,3.36
Juvederm 1st Qtr 2017,Juvederm,January,2017,18,14980,1.2
Calecim Professional Serum & Multi-Action Cream - Jan,Laser Skin Resurfacing,January,2017,4,4016,1
Weight Loss,Medical Weight Loss,January,2017,0,468,0
BTL Awards,BTL Awards,January,2017,0,1863,0
Fat transfer to buttock,Liposuction,January,2017,30,2362,12.7
10% Off Xeomin Injections,Botox,January,2017,16,1783,8.97
Turn Your Frown Upside Down,Dermal Fillers,January,2017,10,1428,7
Be Still my Heart--Another Botox Special!,Botox,January,2017,13,2476,5.25
Coolscuplting,CoolSculpting,January,2017,3,638,4.7
Peel Away the grime.,Chemical Peel,January,2017,6,1483,4.05
Coolsculpting Event - January,Event,January,2017,27,7228,3.74
Facebook Shares,Other,January,2017,7,2554,2.74
Spider Vein Flash Sale,Vein Treatments,January,2017,27,10740,2.51
Vanquish,Vanquish Body,January,2017,13,5515,2.36
"Improve Fine Lines, Wrinkles, Pores, And Texture",Fractional Laser,January,2017,9,4484,2.01
"Introductory offer for Christy Craig, FNP",Dermal Fillers,January,2017,24,14401,1.67
"Annual ""Love Your Skin"" spa event",SculpSure,January,2017,5,3113,1.61
breast augmention,Breast Enhancement,January,2017,6,5377,1.12
DR. RO'S BOOK SIGNING AT BOOKS A MILLION IN GADSDEN,Event,January,2017,1,1087,0.92
January Event 2017,Event,January,2017,2,2494,0.8
Sculpsure Event,Event,January,2017,2,2978,0.67
New Year New You,Ultherapy,January,2017,8,13956,0.57
CoolEvent - January 25,CoolSculpting,January,2017,1,2004,0.5
Icon Campaign - Duplicate,Event,January,2017,1,2839,0.35
Kybella,Kybella,January,2017,0,180,0
test campaign,Other,January,2017,0,394,0
Event,Event,January,2017,32,1803,17.75
post holiday event,Event,January,2017,4,233,17.17
Save $50 Now on Botox,Botox,January,2017,26,2001,12.99
MicroLaserPeel Skin Resurfacing,Laser Skin Resurfacing,January,2017,47,5776,8.14
NEW! Hair Loss Treatments,PRP Hair Restoration,January,2017,7,1096,6.39
January 2017 Events,Event-RSVP,January,2017,37,8473,4.37
cool sculpting,CoolSculpting,January,2017,25,6001,4.17
Exilis Campaign,Exilis Body Sculpting,January,2017,16,5428,2.95
Valentine's Day 2017 Luscious Lips,,January,2017,3,1531,1.96
We Miss you!,Other,January,2017,3,1838,1.63
BTL Awards,,January,2017,2,1285,1.56
Stretch Mark + Laser hair removal,Laser Hair Removal,January,2017,1,739,1.35
January Promotions,CoolSculpting,January,2017,1,1219,0.82
Medical Weight Loss Event,Medical Weight Loss,January,2017,2,3125,0.64
New Year....Time for a New You !!,CoolSculpting,January,2017,2,3264,0.61
UltraShape - Jan - Male,UltraShape,January,2017,5,9799,0.51
Laser Tattoo Removal,Tattoo Removal,January,2017,2,4521,0.44
Ultrashape - Jan - Female,UltraShape,January,2017,4,18049,0.22
BTL Awards,BTL Awards,January,2017,0,4128,0
Ultherapy January 2017,Ultherapy,January,2017,0,1138,0
January Birthday,Birthday,January,2017,0,247,0
Financing Campaign,CoolSculpting,January,2017,0,167,0
Flash Sale,Event,January,2017,0,5389,0
Lashes 2017,Event,January,2017,0,315,0
Free Weight Loss Seminar,Medical Weight Loss,January,2017,0,3137,0
cervical cancer awareness,Event,January,2017,22,2549,8.63
Botox Jan/Feb 2017,Botox,January,2017,21,2922,7.19
DYSPORT,Botox,January,2017,12,1757,6.83
IV Vitamin Therapy,IV Vitamin Therapy,January,2017,1,166,6.02
Open House 2017,Event,January,2017,33,9227,3.58
Valentines Day,Juvederm,January,2017,8,2280,3.51
January 2017 Specials,SmartLipo,January,2017,21,8061,2.61
peels,Chemical Peel,January,2017,4,1625,2.46
BOTOX,Botox,January,2017,14,6911,2.03
"Frozen in Time Jan., 2017",HydraFacial,January,2017,9,5200,1.73
CoolSculpting 2017,CoolSculpting,January,2017,14,8618,1.62
BTL Awards,,January,2017,1,638,1.57
Love your Lips this Valentines!,Juvederm,January,2017,4,3205,1.25
Voluma/ Juverderm,Dermal Fillers,January,2017,3,3964,0.76
CAC intro- female,Other,January,2017,0,1954,0
CAC intro- male,Other,January,2017,0,1311,0
Testosterone campaign - informational only,Low Testosterone - Injections,January,2017,0,836,0
Save the Date - NE Events,Save the Date - NE Events,January,2017,0,779,0
We are moving!!,Event,January,2017,0,1055,0
"10 Day Detox Presentation! Feb. 4, 2017 at 11 AM",Event-RSVP,January,2017,15,461,32.54
$50 off Botox rebate,Botox,January,2017,12,674,17.8
February Birthday,Botox,January,2017,3,212,14.15
"New Year, New You, New Botox Savings!",Botox,January,2017,22,2031,10.83
This Just In! save Now & Again on BOTOX Cosmetic Treatments,Botox,January,2017,9,948,9.49
Exilis Ultra,Exilis Body Sculpting,January,2017,17,1909,8.91
Skin Rejuvenation Package,Fractional Laser,January,2017,13,1521,8.55
CooLifting,Other,January,2017,27,4325,6.24
Laser Hair Removal,Laser Hair Removal,January,2017,7,1162,6.02
Botox Jan 2017,Botox,January,2017,79,15461,5.11
New Year Specials,Dermal Fillers,January,2017,21,6950,3.02
LOVE the skin you're in!,Botox,January,2017,23,8104,2.84
Sleek Silhouette,Cellulite Reduction,January,2017,7,2949,2.37
Introducing our new Candela elos Laser-Special Pricing,Other,January,2017,8,3910,2.05
Nova Threads,,January,2017,3,1524,1.97
BOTOX & Filler Rebates are back!,Botox,January,2017,17,12084,1.41
Exilis Ultra (Women),Exilis Body Sculpting,January,2017,16,11723,1.36
"Surgical Procedures with little downtime, Quick improvement before the holidays",SmartLipo,January,2017,4,3232,1.24
SmartLipo,SmartLipo,January,2017,3,3336,0.9
Fractional - Jan,Fractional Laser,January,2017,3,3990,0.75
Ultherapy - Jan,Ultherapy,January,2017,6,31826,0.19
Fractional Micro Needling,Micro-Needling,January,2017,0,823,0
Coolsculpting Event,CoolSculpting,January,2017,0,1209,0
Vaginoplasty and Labiaplasty,Other,January,2017,14,2132,6.57
Lips & Hips,Event,January,2017,19,3188,5.96
Hollywood Peel,Chemical Peel,January,2017,11,1865,5.9
ONE DAY SPECIAL SALE,Dermal Fillers,January,2017,8,1370,5.84
"Lips, Lines and Lashes",Dermal Fillers,January,2017,14,3050,4.59
3 for Me,Laser Skin Resurfacing,January,2017,4,990,4.04
Botox Now and Again Rebate offer,Botox,January,2017,2,862,2.32
Breast Augmentation Special,Breast Enhancement,January,2017,5,3057,1.64
Jorge's Event,Other,January,2017,3,2049,1.46
Micro needling - $150 per area,Micro-Needling,January,2017,9,6850,1.31
Sign Up For Rewards Program,Botox,January,2017,24,23947,1
Text ONLY,Other,January,2017,2,2670,0.75
Rhinoplasty Special!,Nose Surgery,January,2017,6,8129,0.74
Ultrashape & Velashape Event,UltraShape,January,2017,7,10449,0.67
Dr. Tamyra Comeaux,O-Shot,January,2017,6,10237,0.59
ARTAS User Meeting,ARTAS User Meeting,January,2017,12,22902,0.52
Welcome,Botox,January,2017,2,4954,0.4
Exilis Ultra (Men),Exilis Body Sculpting,January,2017,1,2654,0.38
Allergan Dual Treatment Rebates,Dermal Fillers,January,2017,0,226,0
Unwanted holiday pounds,Liposuction,January,2017,8,511,15.66
$100 toward Botox from Brilliant Distinctions,Botox,January,2017,98,7597,12.9
VelaShape January 2017,VelaShape,January,2017,5,519,9.63
Get Rejuvenized This Spring,Dermal Fillers,January,2017,30,5608,5.35
$50 towards a skin care package purchase,Other,January,2017,5,1124,4.45
Reduce Fat,CoolSculpting,January,2017,14,3919,3.57
Valentine's Season - Lips & Peels - Female,Lip Augmentation,January,2017,10,3156,3.17
January Facebook,Other,January,2017,3,1325,2.26
Chocolate Mousse Treatments,Event,January,2017,15,6941,2.16
Half off Hydrating Facial Friday and Saturday Only!,HydraFacial,January,2017,10,5291,1.89
RW Botox Clinic 02/10/17,Botox,January,2017,2,1240,1.61
Love yourself more!,Event,January,2017,12,8894,1.35
Valentine's Day themed Botox,Botox,January,2017,3,2363,1.27
Theralase cold laser for knee pain,Event,January,2017,5,3956,1.26
Skin Pen Promotion,Micro-Needling,January,2017,1,1998,0.5
Spring sports and asthma,Other,January,2017,1,3093,0.32
"Introducing Volbella, a new type of dermal filler",Dermal Fillers,January,2017,0,4890,0
Specials ending soon.....,Medical Weight Loss,January,2017,0,6459,0
Feb. 15 New Orleans Event,Event,January,2017,17,1079,15.76
24th Anniversary Sale,Vanquish Body,January,2017,41,4721,8.68
HOT NEW DRESS And WAIST So SNATCHED... Simply NO MATCH !!!,SmartLipo,January,2017,69,9207,7.49
Valentine's Specials - Jan/Feb,Massage,January,2017,12,3069,3.91
Hair Transplant by NeoGraft Event,NeoGraft,January,2017,10,6783,1.47
$500 DOLLAR FRIDAYS - Fall In Love with YOUR Skin,BBL Therapy,January,2017,6,5259,1.14
New Service Announcement,Bioidentical Hormone Replacement Therapy,January,2017,0,125,0
Valentine's Special 2016,Massage,January,2017,22,4729,4.65
Cool Event,Event,January,2017,9,512,17.58
Flash Sale-Facials & Skin Care,Event,January,2017,3,242,12.4
Feb special. give the gift that keeps giving. New VIP Monthly Packages,Venus Face,January,2017,4,339,11.8
Bring Up the Rear!!!,Other,January,2017,87,9103,9.56
February Filler Special - 2017,Dermal Fillers,January,2017,22,2965,7.42
Patient Appreciation,Laser Vein Treatment,January,2017,54,7640,7.07
Welcome Back - Dr Lyon's previous patients,Botox,January,2017,9,1622,5.55
Exilis Body,Exilis Body Sculpting,January,2017,34,9133,3.72
Laser hair removal,Laser Hair Removal,January,2017,2,1283,1.56
Botox Feb 2017,Botox,January,2017,10,6775,1.48
SculpSure,SculpSure,January,2017,2,1445,1.38
The Game Changer - April,Changer - April,January,2017,8,20613,0.39
BE SPRING BREAK READY,Medical Weight Loss,January,2017,0,416,0
BTL Customer Success Tour,,January,2017,15,521,28.79
Share the Love this Valentines with 50% off Botox 50 units,Botox,January,2017,95,5645,16.83
Raspberry & White Chocolate Facial Treatment,Microdermabrasion,January,2017,85,12074,7.04
Rethink That Ink/PicoGenesis,Tattoo Removal,January,2017,21,3311,6.34
Breast Augmentation,Breast Enhancement,January,2017,8,1480,5.41
Anniversary Event 2017,Event,January,2017,13,2743,4.74
Mommy makeover,Mommy Makeover,January,2017,2,495,4.04
Breast Enhancement Seminar,Event,January,2017,18,4558,3.95
Valentine's Day Specials,DeepTissueMassage,January,2017,50,12952,3.86
Laser hair removal 2017,Laser Hair Removal,January,2017,17,5328,3.19
Valentines,Event,January,2017,25,7841,3.19
Semi Annual Sale,Event,January,2017,48,15284,3.14
Lips & Lashes for Valentine's Day,Dermal Fillers,January,2017,11,4261,2.58
Feminine Rejuvenation,Exilis Body Sculpting,January,2017,24,11493,2.09
Kiss your Wrinkles Away,Botox,January,2017,19,11305,1.68
February Specials,Dermal Fillers,January,2017,15,10254,1.46
special for injections,Botox,January,2017,19,13056,1.46
What's New for Spring,Event,January,2017,18,13418,1.34
February Procedure Special,Laser Skin Resurfacing,January,2017,5,3959,1.26
Announcing Dr. Imami is now offering skin and cosmetic services,Other,January,2017,8,7262,1.1
Introducing ZO Medical Grade Skin Care Products,Event,January,2017,1,909,1.1
BBL - Feb,BBL Therapy,January,2017,14,13186,1.06
Kybella - Feb,Kybella,January,2017,1,1485,0.67
Mommy Makeover,Mommy Makeover,January,2017,1,1671,0.6
B-12 Injections (not sure when to run - said we were over communicating!?,Other,January,2017,2,6888,0.29
All Services,All Services,January,2017,0,5389,0
February Birthday Offer,HydraFacial,January,2017,0,70,0
VI Peel,Chemical Peel,February,2015,0,489,0
O-Shot,O-Shot,February,2015,0,38,0
Bioidentical Hormone Replacement Therapy,Bioidentical Hormone Replacement Therapy,February,2015,15,1816,8.26
Open House Event,,February,2015,6,489,12.27
Coolsculpting,CoolSculpting,February,2015,2,877,2.28
Dysport-Xeomin,Botox,February,2015,2,489,4.09
Bioidentical Hormone Replacement Therapy,Bioidentical Hormone Replacement Therapy,February,2015,16,11787,1.36
Vampire FL,Vampire Facelifts,February,2015,13,1374,9.46
first-Vampire Facelift,Vampire Facelifts,February,2015,6,386,15.54
Halo,Halo,February,2015,1,375,2.67
Simple Laser Hair Removal,Laser Hair Removal,February,2015,21,9349,2.25
Best Laser Hair Removal,Laser Hair Removal,February,2015,20,11241,1.78
Member Appreciation Day,IPL Therapy,February,2016,18,165,109.09
Brilliant Savings on Botox,Botox,February,2016,32,2396,13.36
Brilliant Savings on Botox,Botox,February,2016,32,2396,13.36
Fabulous February,Microdermabrasion,February,2016,30,3578,8.38
Juvaderm,Juvederm,February,2016,9,1114,8.08
Kissably Soft Skin,HydraFacial,February,2016,75,9337,8.03
Vein Treatment Special,Vein Treatments,February,2016,43,5857,7.34
Valentine Special.,Microdermabrasion,February,2016,14,2250,6.22
Valentines Day Specials,Juvederm,February,2016,16,2858,5.6
February Specials,IPL Therapy,February,2016,26,5425,4.79
"""Love Your Lips Lose Your Lines"" Event on February 10 at 5:30 pm",Event,February,2016,5,1132,4.42
Perfect Lips (Restylane/Xeomin),Dermal Fillers,February,2016,10,2621,3.82
Save 20% on CoolSculpting,CoolSculpting,February,2016,51,13920,3.66
Vote for Renew MediSpa!,Event,February,2016,13,4476,2.9
Fractional Laser Offer,Fraxel Fractional Laser,February,2016,3,1500,2
Surgery & Laser Special,Liposuction,February,2016,4,2108,1.9
"LIPS, LINES & LASHES!",Botox,February,2016,9,4862,1.85
SculpSure Event,SculpSure,February,2016,14,8313,1.68
Permanent Makeup,Perm Makeup,February,2016,7,4269,1.64
Introducing Kybella,Kybella,February,2016,24,16099,1.49
20% off SculpSure,SculpSure,February,2016,9,6797,1.32
Cool Night Out,CoolSculpting,February,2016,4,4986,0.8
Valentine Gift Cards,Event,February,2016,4,11199,0.36
Pucker up for Valentine's Day,Juvederm,February,2016,0,10423,0
TheraLase,,February,2016,0,50,0
Embarrassed by incontinence?,O-Shot,February,2016,14,393,35.62
Love Your Lips,Juvederm,February,2016,11,1078,10.2
valentines gift card,,February,2016,6,1979,3.03
Fall in Love with our February Promotions and Event,Fraxel Fractional Laser,February,2016,14,4695,2.98
Vitamin D Awareness and Offer,,February,2016,3,1187,2.53
"""Madonna Lift"" Fractional Lift",Event,February,2016,10,1132,8.83
February Specials,Breast Enhancement,February,2016,25,3032,8.25
Introducing Kybella,Kybella,February,2016,17,3119,5.45
Ultherapy Consultation Date,Ultherapy,February,2016,12,2229,5.38
SilkPeel,IPL Therapy,February,2016,21,3963,5.3
SculpSure Event,SculpSure,February,2016,24,5596,4.29
UltraShape and VelaShape Event,UltraShape,February,2016,13,5362,2.42
Laser Hair Removal,Laser Hair Removal,February,2016,4,2407,1.66
Sculptra Rebate,Sculptra,February,2016,17,10220,1.66
Mommy Makeover Specials,ThermiVa,February,2016,18,10943,1.64
"google facebook, or yelp review",yelp review,February,2016,2,1946,1.03
Valentine’s Day at Spa Solai,Valentine’s Day at Spa Solai,February,2016,3,7778,0.39
Pellet Special,Bioidentical Hormone Replacement Therapy,February,2016,44,4269,10.31
FILLER & BOTOX,Botox,February,2016,11,1980,5.56
CoolSculpting,CoolSculpting,February,2016,49,10280,4.77
Feb Specials,Dermal Fillers,February,2016,13,4987,2.61
SculpSure Valentines Day,SculpSure,February,2016,8,4864,1.64
Show Love To Your Face This Valentine's Day!!,Botox,February,2016,11,7532,1.46
Introducing Skinny Spa,Skinny Spa,February,2016,15,24464,0.61
Valentine's Day Specials,SculpSure,February,2016,4,6798,0.59
Valentine's Day Special,Event,February,2016,5,14649,0.34
Vampire Facial I,Vampire Facial,February,2016,3,10423,0.29
Fillers,Dermal Fillers,February,2016,9,1118,8.05
HRT for Men,,February,2016,10,1566,6.39
February Fillers special,Dermal Fillers,February,2016,12,2252,5.33
February Specials,Juvederm,February,2016,22,19066,1.15
INFINI,Event,February,2016,14,3646,3.84
Micropen the Newest Celebrity Skin treatment with amazing results,Micro-Needling,February,2016,11,28908,0.38
Event-021616,,February,2016,10,799,12.52
Kybella,Kybella,February,2016,3,607,4.94
Venus Viva Fractional,Venus Face,February,2016,4,6769,0.59
Massage,Massage,February,2016,2,3526,0.57
February Specials,Botox,February,2016,8,15120,0.53
February Specials,Vampire Facelifts,February,2016,3,588,5.1
February Specials,Microdermabrasion,February,2016,14,5292,2.65
Weight Loss,Medical Weight Loss,February,2016,11,4590,2.4
Benefits of Facelifts,Event,February,2016,5,2108,2.37
February Specials,Chemical Peel,February,2016,3,1654,1.81
Feb 25 Event,Event,February,2016,8,4696,1.7
acupuncture,Acupuncture,February,2016,2,1946,1.03
Fraxel and Filler,Fraxel Fractional Laser,February,2016,30,29772,1.01
Juvederm for Lips,Juvederm,February,2016,6,7780,0.77
Botox update,Botox,February,2016,8,11199,0.71
February Specials,February Specials,February,2016,0,1233,0
Breast Augmentation,Breast Enhancement,February,2016,5,1115,4.48
SculpSure & Kybella Event,SculpSure,February,2016,13,4864,2.67
Heart Health,Heart Health,February,2016,1,1187,0.84
Valentines Peace Package,Peace Package,February,2016,4,9314,0.43
Beauty Fix Now welcomes Selfie Plastic Surgery,Beauty Fix Now welcomes Selfie Plastic Surgery,February,2016,2,28910,0.07
Ulthera plus Injectables,Ultherapy,February,2016,60,4224,14.2
Dr. Ro Teleseminar,Medical Weight Loss,February,2016,6,1078,5.57
PRP Special,Vampire Facelifts,February,2016,12,2400,5
Valentines Special,Dermal Fillers,February,2016,8,2114,3.78
February Specials,VelaShape,February,2016,6,2172,2.76
o and p shot,,February,2016,11,4119,2.67
Photo Rejuvenation Special!!,IPL Therapy,February,2016,13,9314,1.4
"Buy 3, Get 3 Free Specials",Laser Hair Removal,February,2016,4,6329,0.63
Valentine's Day,Dermal Fillers,February,2016,2,3744,0.53
Feburary Specials,Dermal Fillers,February,2016,36,4001,9
Month of Love,Botox,February,2016,7,1400,5
Be Bikini-Ready by Summer,Laser Hair Removal,February,2016,18,5544,3.25
valentines day Botox and filler promotion,Botox,February,2016,7,2234,3.13
HRT for Women,Bioidentical Hormone Replacement Therapy,February,2016,4,2751,1.45
Specials,Specials,February,2016,4,3176,1.26
Laser Hair Removal - 2,Laser Hair Removal,February,2016,35,29758,1.18
Laser Hair Removal,Laser Hair Removal,February,2016,3,2622,1.14
